Bottle,Price,Rating,Region,apple,banana,cherry,citrus,fruity,lemon,orange,pear,raisins,zest,balanced,complex,dry,earthy,heavy,light,lingering,mellow,mild,old,smooth,barley,buttery,butterscotch,candy,chocolate,cinnamon,cocoa,corn,honey,tea,toffee,clove,coffee,floral,licorice,malty,mint,nutmeg,peaty,peppery,roses,spices,sugar,tobacco,vanilla,wood,sherry,bitter,brine,creamy,ginger,herbal,maple,nutty,oak,rich,salty,smokey,sour,spicy,sweet,amber,brown,green,caramel,pal
BenRiach 16,72.5,84.42857142857143,Speyside,3.0,2.0,,,3.0,1.0,2.0,,7.0,,3.0,,11.0,,,12.0,,,,3.0,,,,,2.0,2.0,8.0,,,4.0,2.0,,,,4.0,,,,2.0,,,,,1.0,,1.0,12.0,7.0,12.0,,,,4.0,2.0,,,2.0,,,,,8.0,,,2.0,,
BenRiach 17 Solstice,100.4,90.41666666666667,Speyside,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,4.0,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,2.0,,,,,
BenRiach 21 Authenticus Peated,137.5,88.85714285714286,Speyside,,,,,2.0,1.0,,,,,1.0,,5.0,,,3.0,2.0,,,,1.0,1.0,,1.0,,,1.0,,,3.0,,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,4.0,2.0,,,,,,1.0,,5.0,,,,3.0,,5.0,1.0,2.0,2.0,1.0,
Benrinnes 14 AD Rattray Sherry Cask,96.5,93.71428571428571,Speyside,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,5.0,2.0,,,,,,,,,,2.0,,,,,,1.0,,,,,10.0,,,,,,,,3.0,,,,,,2.0,,2.0,,,
Benrinnes 14 Lady of the Glen 1999,69.0,94.375,Speyside,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,2.0,4.0,,,,1.0,
Benrinnes 15 DARKNESS! Oloroso,87.66666666666667,90.16666666666667,Speyside,9.0,,,,2.0,12.0,6.0,2.0,,,2.0,3.0,,,,,,,,3.0,,,,,,,2.0,1.0,2.0,2.0,,,,2.0,8.0,,,1.0,1.0,,2.0,,,2.0,,5.0,,18.0,2.0,,,7.0,,,,3.0,,,,,,1.0,,,,2.0,
Benrinnes 15 DARKNESS! Pedro Ximenez,90.5,91.125,Speyside,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,2.0,,,,2.0,
Benrinnes 23,205.33333333333334,93.84615384615384,Speyside,2.0,2.0,,,,,,,1.0,,,2.0,3.0,,,,,,,2.0,3.0,,2.0,,,5.0,,,,,,2.0,,,,,,,,,,,2.0,,1.0,,,4.0,,,,,,,,1.0,3.0,,,,,4.0,,,,2.0,
Benromach 10,39.52235294117647,84.73529411764706,Speyside,,2.0,,,1.0,,,,,,,,,,,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,2.0,,,5.0,,1.0,,,,,,1.0,,,,,1.0,2.0,,,,,
Benromach 10 100 Proof,69.0,90.5,Speyside,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,,4.0,,,,,,,,,,1.0,
Benromach Traditional,36.0,79.83333333333333,Speyside,,,,1.0,2.0,,,,1.0,,1.0,,,,,2.0,1.0,2.0,,,,,,,,1.0,,,,1.0,,1.0,,,4.0,,,,,2.0,,,,1.0,,2.0,,6.0,,,,,,,,,,,1.0,,,6.0,,2.0,,,
Bernheim Original Small Batch Wheat Whiskey,31.625,83.0,Wheat,,,,3.0,,,,,,,2.0,,,,,4.0,,,,,,,2.0,2.0,,,3.0,2.0,2.0,,,1.0,2.0,2.0,,,,,3.0,,,,,3.0,,4.0,2.0,,,,,,,,,,2.0,,,,,4.0,,,,5.0,
Black Bottle,20.029166666666665,76.25,Blend,8.0,,,3.0,5.0,6.0,4.0,2.0,5.0,,1.0,1.0,5.0,,4.0,31.0,2.0,,11.0,32.0,6.0,,,,5.0,1.0,,2.0,3.0,10.0,1.0,3.0,,1.0,3.0,1.0,17.0,,,2.0,2.0,,,3.0,,9.0,6.0,4.0,13.0,2.0,,,2.0,,1.0,14.0,2.0,3.0,4.0,4.0,2.0,20.0,2.0,2.0,,13.0,
Black Bottle ,19.375,80.11111111111111,Blend,,,,,,,,,1.0,,,,2.0,,,2.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,2.0,,,2.0,,,2.0,,,,,
Black Grouse,26.4,70.25,Blend,,,,,2.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,,,,,,
Black Maple Hill,41.285714285714285,80.41666666666667,Bourbon,,,,,,,5.0,,,,,2.0,,,,1.0,,,,,,,,,5.0,1.0,2.0,5.0,1.0,,,,,,,,,,,,,,3.0,1.0,,,2.0,,,,,3.0,,9.0,,1.0,,,,,,9.0,,4.0,2.0,,
Blanton's Original Single Barrel,38.82826086956522,86.68571428571428,Bourbon,6.0,,4.0,9.0,6.0,,29.0,,,1.0,4.0,6.0,12.0,,2.0,24.0,2.0,,4.0,,14.0,,,1.0,5.0,3.0,25.0,4.0,16.0,14.0,3.0,4.0,7.0,6.0,2.0,,,,1.0,,6.0,4.0,10.0,11.0,1.0,56.0,34.0,,3.0,,4.0,4.0,,4.0,,43.0,12.0,,,9.0,11.0,57.0,5.0,6.0,4.0,39.0,
Blanton's Straight from the Barrel,80.0,91.42857142857143,Bourbon,,,,,2.0,,9.0,,,3.0,,,,,,4.0,,,,,1.0,,,,,,2.0,,4.0,1.0,,,3.0,,,,,,1.0,,,,,,,9.0,,,1.0,,,,,,,4.0,,,,1.0,,6.0,,2.0,,3.0,
Booker's 25th Anniversary,86.83333333333333,89.77777777777777,Bourbon,,,,,,,,,,,7.0,,1.0,6.0,2.0,,2.0,,,,2.0,,,,2.0,,1.0,,5.0,,,,,,,,,2.0,,,,,,,,4.0,,,,,,,,,,16.0,,,,4.0,7.0,12.0,,,,10.0,
Booker's Bourbon,47.641351351351354,89.87755102040816,Bourbon,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,6.0,,,,,,,,,,2.0,
Bowmore 12,32.78037037037037,75.02380952380952,Islay,2.0,,,3.0,,2.0,2.0,,1.0,,,,,4.0,,2.0,2.0,,,7.0,,1.0,,,,,,,,1.0,,,,2.0,7.0,,4.0,,,2.0,,,,2.0,1.0,,,4.0,2.0,1.0,,,,,,4.0,,4.0,,4.0,,4.0,6.0,,2.0,1.0,
Bowmore 15 Darkest,35.375,78.72,Islay,2.0,,,3.0,,2.0,2.0,,1.0,,,,,4.0,,2.0,2.0,,,7.0,,1.0,,,,,,,,1.0,,,,2.0,7.0,,4.0,,,2.0,,,,2.0,1.0,,,4.0,2.0,1.0,,,,,,4.0,,4.0,,4.0,,4.0,6.0,,2.0,1.0,
Bowmore 15 Laimrig,66.25,85.28571428571429,Islay,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,2.0,2.0,4.0,,2.0,1.0,,,,,,,,,,,,,,,,1.0,4.0,,,,,,2.0,4.0,,,,,,1.0,2.0,2.0,,,,
Bowmore 18,46.778,82.22222222222223,Islay,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,2.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
Bowmore Devil's Cask,33.983333333333334,84.625,Islay,,,,,1.0,,,,2.0,,4.0,,,10.0,2.0,2.0,,,2.0,,,,,,,7.0,5.0,,,8.0,3.0,,3.0,,,,,,4.0,,,,,2.0,,5.0,,6.0,,,,8.0,,,,,,,,,2.0,5.0,,4.0,,,
Bowmore Legend,24.96923076923077,64.41176470588235,Islay,,,,,1.0,2.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,
Bowmore Tempest Batch 3,0.865,85.0,Islay,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,1.0,,,2.0,,1.0,
Breckenridge Bourbon,47.5,77.83333333333333,Bourbon,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,
Bruichladdich Bere Barley 2006,67.66666666666667,79.0,Islay,,,1.0,,1.0,3.0,5.0,,,,,,,,,,,,,,,6.0,,,,,,,,2.0,,5.0,,2.0,,,2.0,,,,,,,,,12.0,1.0,,,,5.0,,,,,,,,,,,8.0,,,5.0,1.0,
Bruichladdich Black Art 2,147.45999999999998,88.89473684210526,Islay,,,,,,1.0,,,,,,4.0,,,,2.0,,,,4.0,,4.0,2.0,,,2.0,1.0,,,,,2.0,,,1.0,,,,,,,,1.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,
Bruichladdich Black Art 3,229.66666666666666,93.2,Islay,2.0,,,,,,,,,1.0,2.0,2.0,1.0,,,,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,3.0,,,,,,1.0,,,,,,,,2.0,
Bruichladdich Islay Barley 2006,61.726,83.88888888888889,Islay,,,1.0,,1.0,3.0,5.0,,,,,,,,,,,,,,,6.0,,,,,,,,2.0,,5.0,,2.0,,,2.0,,,,,,,,,12.0,1.0,,,,5.0,,,,,,,,,,,8.0,,,5.0,1.0,
Bruichladdich Octomore 2.2 Orpheus,223.33333333333334,93.375,Islay,,,,,,,,,1.0,,,,,,,,,,,2.0,,4.0,,,1.0,2.0,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,2.0,,,3.0,7.0,,,,,
Bruichladdich Octomore 4.2_167 Comus,136.95000000000002,92.9,Islay,,,,5.0,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,
Bruichladdich Octomore 5.1,184.75,90.66666666666667,Islay,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,
Bruichladdich Octomore 6.1,116.3225,89.0,Islay,,,,,,2.0,,,,,,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,
Bruichladdich Octomore 6.3,155.0,86.5,Islay,,,,,,,,,,,,,7.0,3.0,,2.0,,,,2.0,,,,,,8.0,,,,,,5.0,,2.0,,,,,,4.0,6.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,,4.0,14.0,,,,1.0,
Bruichladdich PC7,99.88888888888889,89.78571428571429,Islay,,,,3.0,,1.0,,,,,,,8.0,,,,,,,2.0,1.0,4.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,2.0,,4.0,5.0,,1.0,,,,,8.0,,,,1.0,,2.0,,,,,
Bruichladdich Port Charlotte 10,60.0,87.6,Islay,,,1.0,,,2.0,2.0,,1.0,,,1.0,2.0,,,,,,,2.0,,,,,,1.0,,,,2.0,,,,,,,,1.0,,3.0,,,,,,1.0,1.0,1.0,,,,,,2.0,,2.0,,,,,,,,,,,
Bruichladdich Port Charlotte An Turas Mor,53.2275,84.58823529411765,Islay,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0,,,,,
Bruichladdich Port Charlotte Scottish Barley,47.455714285714286,86.1875,Islay,,,,4.0,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruichladdich Port Charlotte The Peat Project,42.352222222222224,82.38461538461539,Islay,,,,,2.0,6.0,,,,1.0,,1.0,,,,,,,,,,2.0,2.0,1.0,2.0,1.0,,,,,,,,,3.0,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,2.0,,2.0,,,2.0,,,,,1.0,
Bruichladdich Port Charlotte Tro Na Linntean,,91.33333333333333,Islay,,,,,,2.0,,1.0,,,,2.0,,,,,2.0,,,,,,2.0,,,,2.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,2.0,,,,,,,,,1.0,2.0,,4.0,,,,2.0,,2.0,,1.0,
Bruichladdich Rocks,45.07142857142857,83.36363636363636,Islay,,,,,,,,,1.0,,,,,4.0,,2.0,,,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,2.0,,,,1.0,
Bruichladdich The Classic Laddie,31.948333333333334,85.5,Islay,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,
Bruichladdich The Laddie Sixteen,96.5,88.57142857142857,Islay,7.0,,,2.0,2.0,,,,,,,2.0,2.0,,,,2.0,,2.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,1.0,,,,,,10.0,2.0,,,,,8.0,,2.0,,,
Bruichladdich The Laddie Ten,50.197,86.98550724637681,Islay,7.0,,,2.0,2.0,,,,,,,2.0,2.0,,,,2.0,,2.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,1.0,,,,,,10.0,2.0,,,,,8.0,,2.0,,,
Bruichladdich The Organic,52.15,78.1,Islay,,,,1.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,4.0,,,2.0,,
Bruichladdich Waves,80.0,78.16666666666667,Islay,,,,,,2.0,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,4.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,,,,1.0,,,,,,,,2.0,,2.0,3.0,4.0,,,,2.0,
Buchanan's 12 De Luxe,30.25,77.5,Blend,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,1.0,,,,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,2.0,1.0,
Buffalo Trace,22.188636363636363,84.58,Bourbon,,,,,,,,,,,,2.0,,,,6.0,,,,,2.0,,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,1.0,,,1.0,
Bulleit Bourbon,23.049130434782608,81.94117647058823,Bourbon,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,2.0,1.0,,,,4.0,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,4.0,,,,,1.0,4.0,2.0,2.0,,,
Bulleit Bourbon 10,39.333333333333336,86.0,Bourbon,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,2.0,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
Bulleit Rye,25.054137931034482,84.68571428571428,Rye,,,,,,,2.0,,,,,,3.0,,,,,,,4.0,2.0,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,2.0,2.0,,,,,,,,2.0,,
Bunnahabhain 12,48.598,86.29629629629629,Islay,1.0,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,4.0,,,,,
Bunnahabhain 18,84.64399999999999,90.20833333333333,Islay,,,,,,,,,,,2.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,2.0,,,,2.0,
Bunnahabhain 25,292.25,88.57142857142857,Islay,,,1.0,,1.0,1.0,1.0,,,,2.0,6.0,2.0,,,,,,,2.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,
Bunnahabhain Toiteach,87.5,84.63636363636364,Islay,,,,,,3.0,,,,,1.0,,,2.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,4.0,,,,,1.0,4.0,2.0,,1.0,,,2.0,,,2.0,1.0,,5.0,,,,,1.0,,,,2.0,4.0,,,,,
Bushmills 10,30.1075,81.0,Irish,2.0,1.0,,,1.0,4.0,,,,,,,1.0,,,2.0,,,,,,2.0,1.0,,,,,,,4.0,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,3.0,,4.0,,,4.0,,
Bushmills 16,63.666666666666664,85.66666666666667,Irish,,,2.0,,2.0,,,,1.0,,2.0,,,,2.0,4.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,4.0,,4.0,,,,,,,,,2.0,
Bushmills Black Bush,21.793333333333333,81.16666666666667,Irish,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,1.0,
Bushmills Original,19.08,69.375,Irish,,,,,,4.0,1.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,,,,,,,2.0,,,2.0,,,,,,2.0,,,,,
Caol Ila 12,54.032407407407405,84.9080459770115,Islay,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,5.0,,,8.0,,,,2.0,
Caol Ila 18,74.66666666666667,87.9090909090909,Islay,,,2.0,1.0,2.0,3.0,,,,,,2.0,3.0,,,,,,,,3.0,,1.0,,,,2.0,,,1.0,,5.0,,,,,1.0,,,,,,,,,1.0,3.0,2.0,2.0,,3.0,1.0,,,,3.0,,,2.0,,1.0,,,,,,
Caol Ila Cask Strength,41.96666666666667,88.83333333333333,Islay,,,,,,2.0,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,4.0,2.0,,1.0,4.0,,,,,
Caol Ila Distiller's Edition,50.333333333333336,86.9,Islay,,,,,,,,,,1.0,,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,1.0,,,,3.0,
Caol Ila Stitchell Reserve,106.66666666666667,88.66666666666667,Islay,,,,1.0,,5.0,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,2.0,,,,,,,,1.0,,,,,,,
Caperdonich 18 Signatory,91.33333333333333,86.42857142857143,Speyside,7.0,,2.0,,8.0,5.0,4.0,2.0,,,,,8.0,2.0,,12.0,,,,16.0,2.0,,,3.0,,,,,,,,,,,1.0,,,,,2.0,,,,3.0,3.0,13.0,21.0,5.0,1.0,,,,,,1.0,,7.0,,,2.0,8.0,9.0,,,,7.0,
Cardhu 12,32.93066666666667,76.32,Speyside,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,2.0,,,,,
Chivas Regal 12,23.061739130434784,69.4186046511628,Blend,,,,,,1.0,2.0,,,,,,,,,,,,,1.0,,5.0,,,,,,,2.0,,,,,,,,,2.0,,,,,,3.0,,,,,1.0,,,,,,1.0,1.0,,,,2.0,4.0,,2.0,,,2.0,
Clynelish 14,51.669999999999995,82.34210526315789,Highland ,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,3.0,1.0,,,2.0,7.0,
Colonel E.H. Taylor Barrel Proof,66.84105263157895,90.96,Bourbon,,,,3.0,,,,,5.0,,6.0,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,6.0,,1.0,,,,,,,,,,3.0,,,2.0,2.0,,6.0,4.0,8.0,,6.0,
Colonel E.H. Taylor Single Barrel,61.125,85.33333333333333,Bourbon,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,2.0,1.0,2.0,,,2.0,,,,,,,3.0,,,,,,6.0,,4.0,,2.0,
Colonel E.H. Taylor Small Batch,35.56346153846154,87.85714285714286,Bourbon,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,3.0,,,2.0,,,3.0,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,1.0,
Colonel E.H. Taylor Straight Rye,70.54545454545455,89.21052631578948,Rye,2.0,,,2.0,,1.0,1.0,,,,,2.0,3.0,,,,,,,2.0,1.0,,,,,2.0,,1.0,,,,,1.0,,2.0,1.0,,2.0,,,,,,,2.0,,2.0,,2.0,,,,,,,4.0,,,,2.0,,,,,,1.0,
Compass Box Asyla,43.42857142857143,76.28571428571429,Blend,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,6.0,,,,,,,,,,,3.0,,,,,,,2.0,,,7.0,,,,,,4.0,,,7.0,,
Compass Box Flaming Heart,67.08333333333333,89.33333333333333,Blend,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,14.0,4.0,,,,2.0,,,,2.0,,
Compass Box Great King St. Artist's Blend,31.991111111111113,80.46153846153847,Blend,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,4.0,,,,,,,,,1.0,,2.0,,2.0,,,,,,,,2.0,,,,,,,,,,,
Compass Box Hedonism,78.08888888888889,78.81818181818181,Blend,,,,,,2.0,,,,,,,,,,4.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Compass Box Oak Cross,46.69125,79.5625,Blend,4.0,,,,2.0,,,2.0,,,,,,,,12.0,,,,,1.0,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,4.0,,,,,,1.0,,,,,
Compass Box Peat Monster,51.0,80.55555555555556,Blend,1.0,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,2.0,1.0,1.0,,,,,1.0,1.0,,2.0,,,,,2.0,,,,4.0,,2.0,,1.0,
